id,name,status,start_date,end_date,network,country,runtime,rating,rating_count,genres,total_episodes
15233,Hollywood Premiere,Canceled/Ended,Sep/22/1949,Nov/1949,NBC,US,30,0.0,0,"Comedy, Drama",0
15234,Hollywood Opening Night,Canceled/Ended,Jul/20/1951,Mar/23/1953,NBC,US,30,0.0,0,Anthology,0
15235,Hollywood Insider,Canceled/Ended,May/06/1985,1995,USA Network,US,30,0.0,0,,0
15236,The Comedy Spot,Canceled/Ended,Jun/28/1960,Sep/18/1962,CBS,US,30,0.0,0,"Comedy, Family",2
15237,McKeever & the Colonel,Canceled/Ended,Sep/23/1962,Sep/08/1963,NBC,US,30,0.0,0,"Comedy, Military/War",26
15238,Mr. Smith Goes to Washington,Canceled/Ended,Sep/29/1962,Mar/30/1963,ABC,US,30,0.0,0,"Comedy, Politics",24
15239,Star Wars: The Legacy Revealed,Canceled/Ended,May/28/2007,May/2007,HISTORY,US,120,0.0,0,,1
15240,The Family Holvak,Canceled/Ended,Sep/07/1975,Dec/21/1975,NBC,US,60,0.0,0,"Drama, Family",10
15241,Herman Wouk's The Winds of War,Ended,1983-02-06,,ABC,US,120,0.0,0,"Drama, Romance, War",7
15242,Comedy Factory,Canceled/Ended,1985,1985,CTV,CA,30,0.0,0,"Comedy, Family",1
15243,Kodenavn Hunter,Canceled/Ended,Jan/04/2007,Feb/2007,,NO,60,0.0,0,"Crime, Drama",12
15244,Extra Extra,Returning Series,Mar/01/2006,,TV3,SE,30,0.0,0,"Comedy, Sketch/Improv",3
15245,Torpedo,Canceled/Ended,Feb/04/2007,Feb/2007,TV2,NO,45,0.0,0,"Crime, Drama",4
15246,Tufte,Ended,2021-08-16,,TV 2 Play,NO,10,0.0,0,Sports,24
15247,Just Men!,Canceled/Ended,Jan/03/1983,Apr/01/1983,NBC,US,30,0.0,0,"Comedy, Family",1
15248,How's Your Mother-in-Law?,Canceled/Ended,Dec/04/1967,Mar/01/1968,ABC,US,30,0.0,0,Family,1
15249,Hollywood House,Canceled/Ended,Dec/04/1949,Mar/1950,ABC,US,30,0.0,0,Comedy,0
15250,The Hollywood Game,Canceled/Ended,Jun/19/1992,Jul/10/1992,CBS,US,30,0.0,0,,0
